route_id,rank,city1,city2,route_traffic,route_weight_pct,cumulative_coverage_pct
DELHI_MUMBAI,1,DELHI,MUMBAI,6850869,4.138455344530367,4.138455344530367
BENGALURU_DELHI,2,BENGALURU,DELHI,4681042,2.827711825006597,6.9661671695369645
BENGALURU_MUMBAI,3,BENGALURU,MUMBAI,4114574,2.4855212909144364,9.4516884604514
DELHI_HYDERABAD,4,DELHI,HYDERABAD,3295918,1.9909896776940037,11.442678138145403
DELHI_PUNE,5,DELHI,PUNE,2924045,1.7663495912558391,13.209027729401242
DELHI_KOLKATA,6,DELHI,KOLKATA,2770386,1.673527657310643,14.882555386711887
AHMEDABAD_DELHI,7,AHMEDABAD,DELHI,2537042,1.5325698132890897,16.415125200000976
CHENNAI_DELHI,8,CHENNAI,DELHI,2452761,1.4816575633405995,17.896782763341577
HYDERABAD_MUMBAI,9,HYDERABAD,MUMBAI,2353279,1.4215627323659348,19.31834549570751
BENGALURU_KOLKATA,10,BENGALURU,KOLKATA,2326980,1.405676100012316,20.724021595719826
DELHI_SRINAGAR,11,DELHI,SRINAGAR,2315422,1.3986941730666858,22.122715768786513
BENGALURU_HYDERABAD,12,BENGALURU,HYDERABAD,2293602,1.385513203525792,23.508228972312306
KOLKATA_MUMBAI,13,KOLKATA,MUMBAI,2166364,1.3086515993807772,24.816880571693083
CHENNAI_MUMBAI,14,CHENNAI,MUMBAI,2112927,1.276371513709066,26.093252085402153
AHMEDABAD_MUMBAI,15,AHMEDABAD,MUMBAI,2101443,1.269434288493318,27.36268637389547
BENGALURU_PUNE,16,BENGALURU,PUNE,1881109,1.1363354918469724,28.499021865742446
CHENNAI_HYDERABAD,17,CHENNAI,HYDERABAD,1573825,0.9507121625892286,29.449734028331676
DABOLIM_DELHI,18,DABOLIM,DELHI,1561827,0.9434644415740295,30.393198469905702
DELHI_GUWAHATI,19,DELHI,GUWAHATI,1538643,0.9294595104174723,31.322657980323175
DABOLIM_MUMBAI,20,DABOLIM,MUMBAI,1501390,0.9069558138864499,32.22961379420963
BENGALURU_KOCHI,21,BENGALURU,KOCHI,1485148,0.8971443882547727,33.1267581824644
BENGALURU_CHENNAI,22,BENGALURU,CHENNAI,1474948,0.8909827984602211,34.01774098092462
DELHI_LUCKNOW,23,DELHI,LUCKNOW,1439073,0.8693115206288938,34.88705250155352
DELHI_PATNA,24,DELHI,PATNA,1351643,0.8164970308506934,35.70354953240421
AMRITSAR_DELHI,25,AMRITSAR,DELHI,1277640,0.7717934887363601,36.475343021140574
JAIPUR_MUMBAI,26,JAIPUR,MUMBAI,1205825,0.7284116680407012,37.203754689181274
HYDERABAD_KOLKATA,27,HYDERABAD,KOLKATA,1175993,0.7103908301239303,37.9141455193052
KOCHI_MUMBAI,28,KOCHI,MUMBAI,1170857,0.7072882884391444,38.621433807744346
BENGALURU_DABOLIM,29,BENGALURU,DABOLIM,1163301,0.7027238793717295,39.32415768711608
BHUBANESWAR_DELHI,30,BHUBANESWAR,DELHI,1120064,0.67660538349457,40.00076307061065
GUWAHATI_KOLKATA,31,GUWAHATI,KOLKATA,1105406,0.6677508165133409,40.66851388712399
CHENNAI_KOLKATA,32,CHENNAI,KOLKATA,1048548,0.6334041819507318,41.30191806907472
BAGDOGRA_DELHI,33,BAGDOGRA,DELHI,1015870,0.6136641396657949,41.91558220874052
DELHI_KOCHI,34,DELHI,KOCHI,1007567,0.6086484847575437,42.52423069349806
DELHI_GOA,35,DELHI,Goa,1005576,0.6074457665927445,43.13167646009081
GOA_MUMBAI,36,Goa,MUMBAI,980851,0.5925099521152652,43.72418641220607
AHMEDABAD_BENGALURU,37,AHMEDABAD,BENGALURU,980653,0.5923903447839594,44.31657675699003
CHANDIGARH_DELHI,38,CHANDIGARH,DELHI,953298,0.5758658066633752,44.892442563653404
LUCKNOW_MUMBAI,39,LUCKNOW,MUMBAI,949271,0.573433186849389,45.465875750502796
DELHI_RANCHI,40,DELHI,RANCHI,943367,0.5698667136977191,46.03574246420051
DELHI_INDORE,41,DELHI,INDORE,924366,0.5583886384343589,46.594131102634876
HYDERABAD_VISAKHAPATNAM,42,HYDERABAD,VISAKHAPATNAM,923753,0.558018338969255,47.15214944160413
CHENNAI_COIMBATORE,43,CHENNAI,COIMBATORE,920697,0.5561722783406128,47.70832171994474
DABOLIM_HYDERABAD,44,DABOLIM,HYDERABAD,901316,0.5444646536535339,48.25278637359827
BENGALURU_VARANASI,45,BENGALURU,VARANASI,882200,0.5329171094856273,48.7857034830839
DELHI_LEH,46,DELHI,LEH,876728,0.5296115977840796,49.315315080867975
DELHI_VARANASI,47,DELHI,VARANASI,855998,0.5170890726427999,49.83240415351078
BENGALURU_TRIVANDRUM,48,BENGALURU,TRIVANDRUM,822202,0.4966736717901856,50.32907782530096
MUMBAI_VARANASI,49,MUMBAI,VARANASI,821064,0.49598623167389155,50.82506405697485
BENGALURU_BHUBANESWAR,50,BENGALURU,BHUBANESWAR,810771,0.48976846267827195,51.31483251965313
DELHI_RAIPUR,51,DELHI,RAIPUR,778027,0.4699885512828998,51.784821070936026
BENGALURU_GUWAHATI,52,BENGALURU,GUWAHATI,771957,0.4663218012777108,52.25114287221374
AGARTALA_KOLKATA,53,AGARTALA,KOLKATA,762840,0.46081442734075717,52.7119572995545
BENGALURU_LUCKNOW,54,BENGALURU,LUCKNOW,743982,0.44942273515000675,53.16138003470451
COIMBATORE_MUMBAI,55,COIMBATORE,MUMBAI,734677,0.44380179465605557,53.60518182936056
BENGALURU_JAIPUR,56,BENGALURU,JAIPUR,734649,0.4437848804879921,54.04896670984856
INDORE_MUMBAI,57,INDORE,MUMBAI,724815,0.43784438303312745,54.48681109288168
HYDERABAD_TIRUPATI,58,HYDERABAD,TIRUPATI,724554,0.4376867188236786,54.924497811705365
HYDERABAD_KOCHI,59,HYDERABAD,KOCHI,719748,0.4347835226910693,55.359281334396435
BENGALURU_MANGALORE,60,BENGALURU,MANGALORE,705754,0.42633006312391686,55.78561139752035
CHENNAI_PUNE,61,CHENNAI,PUNE,702010,0.42406839722285794,56.20967979474321
MUMBAI_NAGPUR,62,MUMBAI,NAGPUR,690854,0.41732930940442486,56.62700910414763
DELHI_JAMMU,63,DELHI,JAMMU,680805,0.41125893530192986,57.038268039449555
CHANDIGARH_MUMBAI,64,CHANDIGARH,MUMBAI,680092,0.41082822809374203,57.4490962675433
CHENNAI_KOCHI,65,CHENNAI,KOCHI,673846,0.40705516046072554,57.85615142800402
DELHI_NAGPUR,66,DELHI,NAGPUR,669474,0.4044141339331001,58.26056556193711
AHMEDABAD_PUNE,67,AHMEDABAD,PUNE,644110,0.38909231397731514,58.64965787591443
MANGALORE_MUMBAI,68,MANGALORE,MUMBAI,630537,0.3808931710085457,59.03055104692297
BAGDOGRA_KOLKATA,69,BAGDOGRA,KOLKATA,625900,0.37809206396174805,59.40864311088472
BAGDOGRA_BENGALURU,70,BAGDOGRA,BENGALURU,625685,0.37796218731411785,59.786605298198836
DELHI_SURAT,71,DELHI,SURAT,625381,0.37777854777514297,60.16438384597398
HYDERABAD_PUNE,72,HYDERABAD,PUNE,620603,0.37489226581059715,60.53927611178458
BHOPAL_DELHI,73,BHOPAL,DELHI,614756,0.37136022507248506,60.91063633685706
DELHI_UDAIPUR,74,DELHI,UDAIPUR,604166,0.3649630450799065,61.27559938193696
DELHI_JAIPUR,75,DELHI,JAIPUR,598337,0.36144187773554953,61.63704125967251
BHUBANESWAR_MUMBAI,76,BHUBANESWAR,MUMBAI,583685,0.35259093521890544,61.98963219489142
DEHRADUN_DELHI,77,DehraDun,DELHI,581928,0.3515295711729224,62.341161766064346
BHUBANESWAR_KOLKATA,78,BHUBANESWAR,KOLKATA,576078,0.34799571820251785,62.689157484266865
HYDERABAD_JAIPUR,79,HYDERABAD,JAIPUR,566528,0.3422267787380112,63.031384263004874
BENGALURU_PATNA,80,BENGALURU,PATNA,563343,0.34030279212079095,63.37168705512567
DELHI_VADODARA,81,DELHI,VADODARA,558198,0.3371948137391274,63.7088818688648
MUMBAI_RAJKOT INTERNATIONAL AIRPORT,82,MUMBAI,Rajkot International Airport,554015,0.33466795784593045,64.04354982671073
MUMBAI_UDAIPUR,83,MUMBAI,UDAIPUR,550234,0.3323839410799305,64.37593376779066
KOLKATA_PORT BLAIR,84,KOLKATA,PORT BLAIR,545424,0.32947832863759785,64.70541209642826
HYDERABAD_VARANASI,85,HYDERABAD,VARANASI,542587,0.3277645609663093,65.03317665739456
BENGALURU_GOA,86,BENGALURU,Goa,535666,0.32358374106747684,65.35676039846204
CHENNAI_PORT BLAIR,87,CHENNAI,PORT BLAIR,528424,0.3192090123133452,65.6759694107754
BENGALURU_VISAKHAPATNAM,88,BENGALURU,VISAKHAPATNAM,521945,0.3152951946389433,65.99126460541433
GUWAHATI_IMPHAL,89,GUWAHATI,IMPHAL,518916,0.3134654441009338,66.30473004951527
JAIPUR_KOLKATA,90,JAIPUR,KOLKATA,516730,0.3121449308371211,66.61687498035239
JAMMU_SRINAGAR,91,JAMMU,SRINAGAR,516458,0.311980621775933,66.92885560212832
DELHI_VISAKHAPATNAM,92,DELHI,VISAKHAPATNAM,511843,0.3091928044326139,67.23804840656094
AHMEDABAD_HYDERABAD,93,AHMEDABAD,HYDERABAD,505243,0.3052058933890805,67.54325429995002
HYDERABAD_LUCKNOW,94,HYDERABAD,LUCKNOW,483808,0.2922574936590596,67.83551179360909
BENGALURU_CHANDIGARH,95,BENGALURU,CHANDIGARH,479697,0.289774131340883,68.12528592494996
